canton;cod_can
CUENCA;101
GIRON;102
GUALACEO;103
NABON;104
PAUTE;105
PUCARA;106
SAN FERNANDO;107
SANTA ISABEL;108
SIGSIG;109
OÑA;110
CHORDELEG;111
EL PAN;112
SEVILLA DE ORO;113
GUACHAPALA;114
CAMILO PONCE ENRIQUEZ;115
GUARANDA;201
CHILLANES;202
CHIMBO;203
ECHEANDIA;204
SAN MIGUEL;205
CALUMA;206
LAS NAVES;207
AZOGUES;301
BIBLIAN;302
CAÑAR;303
LA TRONCAL;304
EL TAMBO;305
DELEG;306
SUSCAL;307
TULCAN;401
BOLIVAR;402
ESPEJO;403
MIRA;404
MONTUFAR;405
SAN PEDRO DE HUACA;406
LATACUNGA;501
LA MANA;502
PANGUA;503
PUJILI;504
SALCEDO;505
SAQUISILI;506
SIGCHOS;507
RIOBAMBA;601
ALAUSI;602
COLTA;603
CHAMBO;604
CHUNCHI;605
GUAMOTE;606
GUANO;607
PALLATANGA;608
PENIPE;609
CUMANDA;610
MACHALA;701
ARENILLAS;702
ATAHUALPA;703
BALSAS;704
CHILLA;705
EL GUABO;706
HUAQUILLAS;707
MARCABELI;708
PASAJE;709
PIÑAS;710
PORTOVELO;711
SANTA ROSA;712
ZARUMA;713
LAS LAJAS;714
ESMERALDAS;801
ELOY ALFARO;802
MUISNE;803
QUININDE;804
SAN LORENZO;805
ATACAMES;806
RIOVERDE;807
LA CONCORDIA;808
GUAYAQUIL;901
ALFREDO BAQUERIZO MORENO (JUJAN);902
BALAO;903
BALZAR;904
COLIMES;905
DAULE;906
DURAN;907
EL EMPALME;908
EL TRIUNFO;909
MILAGRO;910
NARANJAL;911
NARANJITO;912
PALESTINA;913
PEDRO CARBO;914
SAMBORONDON;916
SANTA LUCIA;918
SALITRE (URBINA JADO);919
SAN JACINTO DE YAGUACHI;920
PLAYAS;921
SIMON BOLIVAR;922
CORONEL MARCELINO MARIDUEÑA;923
LOMAS DE SARGENTILLO;924
NOBOL;925
GENERAL ANTONIO ELIZALDE (BUCAY);927
ISIDRO AYORA;928
IBARRA;1001
ANTONIO ANTE;1002
COTACACHI;1003
OTAVALO;1004
PIMAMPIRO;1005
SAN MIGUEL DE URCUQUI;1006
LOJA;1101
CALVAS;1102
CATAMAYO;1103
CELICA;1104
CHAGUARPAMBA;1105
ESPINDOLA;1106
GONZANAMA;1107
MACARA;1108
PALTAS;1109
PUYANGO;1110
SARAGURO;1111
SOZORANGA;1112
ZAPOTILLO;1113
PINDAL;1114
QUILANGA;1115
OLMEDO;1116
BABAHOYO;1201
BABA;1202
MONTALVO;1203
PUEBLOVIEJO;1204
QUEVEDO;1205
URDANETA;1206
VENTANAS;1207
VINCES;1208
PALENQUE;1209
BUENA FE;1210
VALENCIA;1211
MOCACHE;1212
QUINSALOMA;1213
PORTOVIEJO;1301
BOLIVAR;1302
CHONE;1303
EL CARMEN;1304
FLAVIO ALFARO;1305
JIPIJAPA;1306
JUNIN;1307
MANTA;1308
MONTECRISTI;1309
PAJAN;1310
PICHINCHA;1311
ROCAFUERTE;1312
SANTA ANA;1313
SUCRE;1314
TOSAGUA;1315
24 DE MAYO;1316
PEDERNALES;1317
OLMEDO;1318
PUERTO LOPEZ;1319
JAMA;1320
JARAMIJO;1321
SAN VICENTE;1322
MORONA;1401
GUALAQUIZA;1402
LIMON INDANZA;1403
PALORA;1404
SANTIAGO;1405
SUCUA;1406
HUAMBOYA;1407
SAN JUAN BOSCO;1408
TAISHA;1409
LOGROÑO;1410
PABLO SEXTO;1411
TIWINTZA;1412
TENA;1501
ARCHIDONA;1503
EL CHACO;1504
QUIJOS;1507
CARLOS JULIO AROSEMENA TOLA;1509
PASTAZA;1601
MERA;1602
SANTA CLARA;1603
ARAJUNO;1604
QUITO;1701
CAYAMBE;1702
MEJIA;1703
PEDRO MONCAYO;1704
RUMIÑAHUI;1705
SAN MIGUEL DE LOS BANCOS;1707
PEDRO VICENTE MALDONADO;1708
PUERTO QUITO;1709
AMBATO;1801
BAÑOS DE AGUA SANTA;1802
CEVALLOS;1803
MOCHA;1804
PATATE;1805
QUERO;1806
SAN PEDRO DE PELILEO;1807
SANTIAGO DE PILLARO;1808
TISALEO;1809
ZAMORA;1901
CHINCHIPE;1902
NANGARITZA;1903
YACUAMBI;1904
YANTZAZA;1905
EL PANGUI;1906
CENTINELA DEL CONDOR;1907
PALANDA;1908
PAQUISHA;1909
SAN CRISTOBAL;2001
ISABELA;2002
SANTA CRUZ;2003
LAGO AGRIO;2101
GONZALO PIZARRO;2102
PUTUMAYO;2103
SHUSHUFINDI;2104
SUCUMBIOS;2105
CASCALES;2106
CUYABENO;2107
ORELLANA;2201
AGUARICO;2202
LA JOYA DE LOS SACHAS;2203
LORETO;2204
SANTO DOMINGO;2301
LA CONCORDIA;2302
SANTA ELENA;2401
LA LIBERTAD;2402
SALINAS;2403
